date,price,d12,e12,ret,retx,rfree,lty,dfy,tbl,tms,ntis,infl,ltr,dfr,svar,dp_gw,dy,ep,de,bm,cay,SP500,CPIAUCSL,TB3MS,VIXCLS,USREC,ret_decimal,r_log,rf_simple,rf_forecast_simple,dp,ge,gm,gs,ms,forecast_target_date,ret_lead,rf_log,rf_log_next,rf_simple_next,xret_lead,hist_mean,hist_mean_xret,d12_lag1,e12_lag1,dp_lagfund,ge_lagfund,gm_lagfund,gs_lagfund,ms_lagfund,ge_winsor,gm_winsor,gs_winsor,ms_winsor,VIXCLS_lag1,decomp_error
2008-12-31,903.25,28.387,14.88,0.011995,0.009229,0.0,0.0303,0.0338,0.0003,0.03,-0.024498,-0.010342,0.0967,0.0593,0.02009,0.031428,0.031673,0.016474,1.907728,0.354984,,,211.398,0.03,40.0,1,0.011995,0.011923630141605997,0.0,2.4999999999999998e-05,0.00261554501752253,-0.5282812548707683,0.53607239064805,-0.0019481854211487676,0.0006673595963737622,2009-01-31,-0.08622804750865612,0.0,0.0,0.0,-0.08622804750865612,0.00751907197260102,0.004486231419691774,28.5427,25.2367,0.002629872186015986,-0.3438581336228143,0.351649269400096,0.0003130666782203947,0.002942938864236381,-0.07528587567111511,0.1320394899508541,0.0019213821974210525,0.0045369272149435825,55.84,0.0015169493468017731
2009-01-31,825.88,28.0097,12.2067,-0.082615,-0.084039,0.0,0.0394,0.0309,0.0013,0.0381,-0.025058,0.004352,-0.1124,0.0175,0.011971,0.033915,0.03101,0.01478,2.29462,0.389393,,,211.933,0.13,44.84,1,-0.082615,-0.08622804750865612,0.0,0.00010833333333333333,0.0028222616321370553,-0.19803304808219435,0.10848316257112348,-0.0028434834808473077,-2.1221848710252338e-05,2009-02-28,-0.10935515026411184,0.0,9.999500033330834e-05,0.0001,-0.10945514526444515,0.007425042765498456,0.004395244179041475,28.387,14.88,0.002860224120685267,-0.5282812548707683,0.43873136935969725,-0.0019481854211487676,0.0009120386995364995,-0.07528587567111511,0.10848316257112348,0.0015375306894353424,0.0043597923215723975,40.0,0.000499576370277699
2009-02-28,735.09,27.6323,9.5333,-0.103588,-0.107402,0.0001,0.0401,0.0281,0.003,0.0371,-0.02493,0.004973,-0.0056,-0.0252,0.009961,0.03759,0.033458,0.012969,2.898497,0.441103,,,212.705,0.3,46.35,1,-0.103588,-0.10935515026411184,0.0001,0.00025,0.0031276341063890384,-0.24719404867466346,0.13073750485414895,-0.003942474153259355,-0.0008148400468703169,2009-03-31,0.08400469478074434,9.999500033330834e-05,0.00019998000266626675,0.0002,0.08380471477807806,0.0073080285440259,0.004281165632504915,28.0097,12.2067,0.003170283470423872,-0.19803304808219435,0.08157650426167991,-0.0028434834808473077,0.00032679998957656437,-0.07528587567111511,0.13073750485414895,0.0011548240712047464,0.004282458177593785,44.84,0.003973759450013645
2009-03-31,797.87,27.255,6.86,0.087634,0.084154,0.0002,0.0355,0.0292,0.0021,0.0334,-0.037429,0.002432,0.0641,-0.0659,0.020364,0.03416,0.037077,0.008598,3.973032,0.446141,,,212.495,0.21,44.14,1,0.087634,0.08400469478074434,0.0002,0.000175,0.002842597671795556,-0.32908349091029415,0.411036227124938,-0.005381529590680971,-0.0025389319188854147,2009-04-30,0.09005091956291307,0.00019998000266626675,9.999500033330834e-05,0.0001,0.08995092456257976,0.007384801983702295,0.004360768784802786,27.6323,9.5333,0.002881892045045803,-0.24719404867466346,0.3291467848893074,-0.003942474153259355,-0.0010605821082135523,-0.07528587567111511,0.1320394899508541,0.0007732586972797108,0.0036158563690752666,46.35,-0.0007906391056950596
2009-04-30,872.81,26.7013,7.0767,0.09423,0.09255,0.0001,0.041,0.03,0.0016,0.0394,-0.030995,0.002496,-0.0649,0.0619,0.007551,0.030592,0.033466,0.008108,3.773151,0.415597,,,212.709,0.16,36.5,1,0.09423,0.09005091956291307,0.0001,0.00013333333333333334,0.0025461175304221347,0.03110025561375866,0.05867195930721072,-0.005266393270726486,-0.002720275740304351,2009-05-31,0.053199476467577445,9.999500033330834e-05,0.0,0.0,0.053199476467577445,0.007467468101281506,0.004446358940580563,27.255,6.86,0.0025988473577363592,-0.32908349091029415,0.4188557058312635,-0.005381529590680971,-0.0027826822329446114,0.03110025561375866,0.05867195930721072,0.0008883950172341953,0.00343451254765633,44.14,-0.00226741288847844
2009-05-31,919.14,26.1477,7.2933,0.05464,0.051848,0.0,0.0432,0.0252,0.0018,0.0414,-0.02435,0.002889,-0.0248,0.0737,0.006381,0.028448,0.029958,0.007935,3.585146,0.399355,,,213.022,0.18,28.92,1,0.05464,0.053199476467577445,0.0,0.00015,0.0023678615472359577,0.030148421139761735,0.021572137281120455,-0.005155156423306915,-0.002787294876070957,2009-06-30,0.002472939762391308,0.0,9.999500033330834e-05,0.0001,0.0023729447620579997,0.007513154423325758,0.004495063353694446,26.7013,7.0767,0.002417933432873043,0.03110025561375866,0.02062030280712357,-0.005266393270726486,-0.0028484598378534427,0.030148421139761735,0.021572137281120455,0.0009996318646537656,0.0033674934118897233,36.5,-0.0008889435005407093
2009-06-30,919.32,25.594,7.51,0.002476,0.00068,0.0001,0.0429,0.0189,0.0018,0.0411,-0.022097,0.00859,0.0083,0.0267,0.003473,0.02784,0.027846,0.008169,3.407989,0.401876,,,214.79,0.18,26.35,1,0.002476,0.002472939762391308,0.0001,0.00015,0.002317324820480915,0.02927934728472898,-0.02908353122065894,-0.005047507769836374,-0.002730182949355459,2009-07-31,0.07183868498244812,9.999500033330834e-05,9.999500033330834e-05,0.0001,0.07173868998211481,0.007508124268973528,0.004492945470868461,26.1477,7.2933,0.0023673984756548243,0.030148421139761735,-0.029952605075691446,-0.005155156423306915,-0.0027877579476520906,0.02927934728472898,-0.02908353122065894,0.0011072805181243067,0.003424605338605222,28.92,-4.0201122159649275e-05
2009-07-31,987.48,25.0297,9.1867,0.074482,0.073101,0.0001,0.043,0.0168,0.0018,0.0412,-0.013782,-0.001586,0.0019,0.0546,0.003771,0.025347,0.027226,0.009303,2.724565,0.370126,,,214.726,0.18,25.92,0,0.074482,0.07183868498244812,0.0001,0.00015,0.0021100260787209916,0.20152132014174667,-0.1299993430528546,-0.004122713475344702,-0.0020126873966237104,2009-08-31,0.03416081806324669,9.999500033330834e-05,9.999500033330834e-05,0.0001,0.03406082306291338,0.007572262415248178,0.00455999008154767,25.594,7.51,0.0021575457912106633,0.02927934728472898,0.04224262980416286,-0.005047507769836374,-0.0028899619786257108,0.07622357716469409,-0.1299993430528546,0.0015100008835449267,0.003620026962265918,26.35,-0.001793318185164941
2009-08-31,1020.62,24.4653,10.8633,0.034751,0.032255,0.0001,0.0415,0.0132,0.0017,0.0398,-0.007921,0.002243,0.0231,0.0004,0.002178,0.023971,0.024776,0.010644,2.252102,0.357472,,,215.445,0.17,26.01,0,0.034751,0.03416081806324669,0.0001,0.00014166666666666665,0.001995592281919019,0.1676333498329653,-0.13462402848482885,-0.003337343739216188,-0.0013417514572971689,2009-09-30,0.03588245505709932,9.999500033330834e-05,9.999500033330834e-05,0.0001,0.03578246005676601,0.0075987450403955875,0.004589373381329907,25.0297,9.1867,0.0020415824527911216,0.20152132014174667,-0.16851199879360995,-0.004122713475344702,-0.0020811310225535805,0.07622357716469409,-0.13462402848482885,0.0019144965668889773,0.003910088848807996,25.92,-0.0008440955668087627
2009-09-30,1057.08,23.901,12.54,0.036534,0.034978,0.0001,0.0403,0.0118,0.0012,0.0391,-1.4e-05,0.000625,0.0176,0.0097,0.001913,0.02261,0.023418,0.011863,1.905981,0.349521,,,215.861,0.12,25.61,0,0.036534,0.03588245505709932,0.0001,9.999999999999999e-05,0.0018824269933877397,0.14353339945401927,-0.10843329529807312,-0.0026505395123579975,-0.0007681125189702579,2009-10-31,-0.018427752869322984,9.999500033330834e-05,0.0,0.0,-0.018427752869322984,0.007626888035437084,0.0046204112785193955,24.4653,10.8633,0.001926828098437273,0.1676333498329653,-0.13253324567701927,-0.003337343739216188,-0.0014105156407789147,0.07622357716469409,-0.10843329529807312,0.00232084320087498,0.004203270194262719,26.01,-0.0011000760922345865
