date,forecast_target_date,ret_A_SOP_Markowitz_net,ret_B_SOP_VolManaged_net,ret_C_VIX_Markowitz_net,ret_D_VIX_VolManaged_net,ret_HM_Markowitz_net,ret_BuyHold_net,w_A_SOP_Markowitz,w_B_SOP_VolManaged,w_C_VIX_Markowitz,w_D_VIX_VolManaged,w_HM_Markowitz,w_BuyHold
2011-06-30,2011-07-31,-0.028845123273401527,-0.029741999999999998,-0.021840265339671386,-0.024455614119200216,-0.029142813729843314,-0.019828,1.4521918489569643,1.5,1.0916956252573298,1.211567771671771,1.4691335962074648,1.0
2011-07-31,2011-08-31,-0.08097862084049591,-0.0815345,-0.082146956562114,-0.08196714834249234,-0.07930656683039475,-0.054323,1.4887775801357466,1.5,1.5,1.5,1.4587772128579928,1.0
2011-08-31,2011-09-30,-0.10537383362979637,-0.02802675,-0.10535699999999999,-0.02802675,-0.10009692497452646,-0.070238,1.5,0.375,1.5,0.375,1.4243760242549897,1.0
2011-09-30,2011-10-31,0.163521,0.06026747524277382,0.163521,0.06026747524277382,0.14951984948714597,0.109014,1.5,0.5553227974289285,1.5,0.5553227974289285,1.3722823671528355,1.0
2011-10-31,2011-11-30,-0.004017732512353189,-0.0014453011357907998,-0.0040904999999999995,-0.0014705067395970068,-0.0036567441086375824,-0.002727,1.4406947940938788,0.4990358106335836,1.5,0.5195782750233204,1.3026247415715806,1.0
2011-11-30,2011-12-31,0.013865732462212559,0.004644211745093175,0.0141405,0.004699007173165777,0.012292936906692004,0.009427,1.4765598929067416,0.49352662771515976,1.5,0.5013612689393939,1.3042764973299652,1.0
2011-12-31,2012-01-31,0.06777233983936012,0.061627634155575976,0.0678075,0.06163938611741233,0.05900153957285888,0.045205,1.5,1.393143672669105,1.5,1.393143672669105,1.3052310908789366,1.0
2012-01-31,2012-02-29,0.06415883080677791,0.06485121550900366,0.06010668332024607,0.06485121550900366,0.056141435014218706,0.043341,1.4809846079877325,1.5,1.3906175892653168,1.5,1.295673193071901,1.0
2012-02-29,2012-03-31,0.04779965468943555,0.049298999999999996,0.042275436342259845,0.049298999999999996,0.042186603397495394,0.032866,1.4555412792125106,1.5,1.2908503383040744,1.5,1.2841213172060537,1.0
2012-03-31,2012-04-30,-0.00873871220629457,-0.009051,-0.0065556978517236466,-0.009051,-0.007745707560674508,-0.006034,1.445831558772784,1.5,1.0188403935305546,1.5,1.2835301245843465,1.0
2012-04-30,2012-05-31,-0.08676886974330446,-0.089735,-0.07054349533327109,-0.089735,-0.07735536747296086,-0.05979,1.450360271729331,1.5,1.1756272344610998,1.5,1.2930552640468702,1.0
2012-05-31,2012-06-30,0.059483354344364955,0.0621975,0.061710940851691654,0.0621975,0.05223177816702151,0.041465,1.4350958862320249,1.5,1.5,1.5,1.2608253476804796,1.0
2012-06-30,2012-07-31,0.020111462065758697,0.014351839890813265,0.015375303210376265,0.010892789712925996,0.018049885263852674,0.014363,1.4035242952220093,1.0465763027682824,1.111095203327004,0.8285185471175689,1.2570839869743045,1.0
2012-07-31,2012-08-31,0.03163671555231548,0.033385864454152425,0.029012856600542754,0.03305877782067635,0.02870364069611591,0.022744,1.393389744663208,1.5,1.2886026199182865,1.5,1.2636215813306118,1.0
2012-08-31,2012-09-30,0.03442709110645149,0.03763,0.02850188151342244,0.03763,0.031730245824785834,0.02512,1.3731966713215047,1.5,1.1438456049509755,1.5,1.2642352658499112,1.0
2012-09-30,2012-10-31,-0.02427896735916615,-0.0268055,-0.01770170454724891,-0.0268055,-0.022700833639737253,-0.017837,1.3578616750127088,1.5,0.9786418531254153,1.5,1.2706274907913837,1.0
2012-10-31,2012-11-30,0.00718194754953807,0.007939,0.006194832775090829,0.007939,0.00671338759372945,0.005326,1.3557448798776588,1.5,1.2417793868498943,1.5,1.2666263499727215,1.0
2012-11-30,2012-12-31,0.011550572302859,0.012712,0.007969974447191054,0.01093531607909701,0.010851440318488344,0.008508,1.3631955678984529,1.5,0.982301526793086,1.3206818812168966,1.2813405896828693,1.0
2012-12-31,2013-01-31,0.07102698906282087,0.0785415,0.062083715992059536,0.07827252282182534,0.0672589326271292,0.052361,1.3566733334818988,1.5,1.191684467506929,1.5,1.2846173245237982,1.0
2013-01-31,2013-02-28,0.017604359510216883,0.019519500000000002,0.01045800994907704,0.019519500000000002,0.016959197177402838,0.013013,1.3532260394432394,1.5,0.8437632915549806,1.5,1.3056780327123374,1.0
2013-02-28,2013-03-31,0.050831520286341574,0.056375999999999996,0.0361905443369494,0.056375999999999996,0.04929977696468993,0.037584,1.3525063797335595,1.5,0.9678777131032293,1.5,1.3119737256296813,1.0
2013-03-31,2013-04-30,0.0261306333247076,0.0294315,0.013188727065990571,0.0294315,0.025727377025302627,0.019621,1.3332414608355636,1.5,0.6931747377323714,1.5,1.3112701867216112,1.0
2013-04-30,2013-05-31,0.031476589604986026,0.03468,0.01846411200783333,0.027857427595535767,0.030718825672792473,0.02312,1.3634008979524828,1.5,0.8059366281792216,1.2228849551395518,1.329876058867255,1.0
2013-05-31,2013-06-30,-0.018744650669031027,-0.0204015,-0.01547823250292649,-0.02081717256729067,-0.018139489448968857,-0.013601,1.3767135961830177,1.5,1.1050352589361845,1.5,1.3333092866213985,1.0
2013-06-30,2013-07-31,0.0739753056463702,0.076008,0.06158961640289002,0.0699516872745395,0.07032566739624789,0.050672,1.4624224203224532,1.5,1.2188250124966595,1.3839164163639406,1.3895245966467864,1.0
2013-07-31,2013-08-31,-0.041924139939871055,-0.0438105,-0.025729096429900084,-0.04398462537545409,-0.040444124902262006,-0.029207,1.433951936672587,1.5,0.8626288992368388,1.5,1.384481827960148,1.0
2013-08-31,2013-09-30,0.04531297400879171,0.047490000000000004,0.03758466430714854,0.047490000000000004,0.04326377326839455,0.03166,1.4313601300904881,1.5,1.2032732413227216,1.5,1.3673249701548482,1.0
2013-09-30,2013-10-31,0.06922571551792324,0.06940199999999999,0.05666419615747959,0.06940199999999999,0.06675760560562115,0.046268,1.4983621185397495,1.5,1.2254129354783665,1.5,1.4453765669761633,1.0
2013-10-31,2013-11-30,0.046223043177809627,0.0462255,0.03457523730954797,0.0462255,0.046143564850464246,0.030817,1.5,1.5,1.126755475841369,1.5,1.5,1.0
2013-11-30,2013-12-31,0.038925,0.038925,0.0305647949317819,0.038925,0.038925,0.02595,1.5,1.5,1.1809677594282146,1.5,1.5,1.0
2013-12-31,2014-01-31,-0.051999000000000004,-0.051999000000000004,-0.04085316594760271,-0.051999000000000004,-0.051999000000000004,-0.034666,1.5,1.5,1.1783668307441473,1.5,1.5,1.0
2014-01-31,2014-02-28,0.0686355,0.0686355,0.06815305024611622,0.0686355,0.0686355,0.045757,1.5,1.5,1.5,1.5,1.5,1.0
2014-02-28,2014-03-31,0.012084000000000001,0.012084000000000001,0.01165358442144677,0.012084000000000001,0.012084000000000001,0.008056,1.5,1.5,1.4549586041698168,1.5,1.5,1.0
2014-03-31,2014-04-30,0.009832500000000001,0.009832500000000001,0.009764937906254725,0.009832500000000001,0.009832500000000001,0.006555,1.5,1.5,1.5,1.5,1.5,1.0
2014-04-30,2014-05-31,0.0349635,0.0349635,0.03453195411683618,0.0349635,0.0349635,0.023309,1.5,1.5,1.4826052689280578,1.5,1.5,1.0
2014-05-31,2014-06-30,0.0309525,0.0309525,0.021892030094160325,0.0309525,0.0309525,0.020635,1.5,1.5,1.0894934717665423,1.5,1.5,1.0
2014-06-30,2014-07-31,-0.020961,-0.020961,-0.015458840129086994,-0.020961,-0.020961,-0.013974,1.5,1.5,1.104632308177382,1.5,1.5,1.0
2014-07-31,2014-08-31,0.059665499999999996,0.059665499999999996,0.05907244846226607,0.059665499999999996,0.059665499999999996,0.039777,1.5,1.5,1.5,1.5,1.5,1.0
2014-08-31,2014-09-30,-0.020892,-0.020892,-0.016846606356198533,-0.020892,-0.020892,-0.013928,1.5,1.5,1.174493591583403,1.5,1.5,1.0
2014-09-30,2014-10-31,0.035958000000000004,0.035958000000000004,0.03546974038737511,0.035958000000000004,0.035958000000000004,0.023972,1.5,1.5,1.5,1.5,1.5,1.0
2014-10-31,2014-11-30,0.0414465,0.03539517922107719,0.0414465,0.03539517922107719,0.0414465,0.027631,1.5,1.292272123204737,1.5,1.292272123204737,1.5,1.0
2014-11-30,2014-12-31,-0.0037095,-0.004021091815192895,-0.0035987895673267956,-0.004021091815192895,-0.0037095,-0.002473,1.5,1.5,1.3862174381570356,1.5,1.5,1.0
2014-12-31,2015-01-31,-0.044145000000000004,-0.044145000000000004,-0.04431567384276445,-0.044145000000000004,-0.044145000000000004,-0.02943,1.5,1.5,1.5,1.5,1.5,1.0
2015-01-31,2015-02-28,0.085464,0.085464,0.085464,0.085464,0.085464,0.056976,1.5,1.5,1.5,1.5,1.5,1.0
2015-02-28,2015-03-31,-0.0224895,-0.0224895,-0.01931844540496652,-0.0224895,-0.0224895,-0.014993,1.5,1.5,1.2649852075125263,1.5,1.5,1.0
