year,start_date,forecast_target_date,r_log_ann,ms_ann,hist_mean_ann,N_months
1971,1971-01-31,1971-12-31,0.13497629723268612,0.06598375886327167,0.08866877636793935,12
1972,1972-01-31,1972-12-31,0.17493685246559731,0.07426965159770288,0.08972665842501373,12
1973,1973-01-31,1973-12-31,-0.16012882920941077,0.0828453668557047,0.08837345352396181,12
1974,1974-01-31,1974-12-31,-0.30688076312626916,0.10264334083414176,0.08192194172795948,12
1975,1975-01-31,1975-12-31,0.31453683790784054,0.09090220098335035,0.08163148376445492,12
1976,1976-01-31,1976-12-31,0.21443359891104125,0.08340700185590316,0.08425970846020615,12
1977,1977-01-31,1977-12-31,-0.0771684021495973,0.09933245109803851,0.08285080347919216,12
1978,1978-01-31,1978-12-31,0.06214237317979075,0.11676328938413641,0.08158624132747813,12
1979,1979-01-31,1979-12-31,0.17048304927205238,0.12419809985547807,0.082386012020115,12
1980,1980-01-31,1980-12-31,0.2820928611792345,0.12576247002231006,0.08431516443736829,12
1981,1981-01-31,1981-12-31,-0.049861628843401756,0.12815740260992348,0.08549979558619343,12
1982,1982-01-31,1982-12-31,0.20000253082747105,0.12835833109889253,0.0835135893141759,12
1983,1983-01-31,1983-12-31,0.20115191749346842,0.10443190193498814,0.08802619337743263,12
1984,1984-01-31,1984-12-31,0.06475638316591006,0.11028995925256743,0.08750142172268599,12
1985,1985-01-31,1985-12-31,0.2774758607593049,0.10106924472233236,0.08925881351159466,12
1986,1986-01-31,1986-12-31,0.16606856589488384,0.08419833133095694,0.09244189201498676,12
1987,1987-01-31,1987-12-31,0.05027277711173883,0.08190716058411712,0.09442259502571401,12
1988,1988-01-31,1988-12-31,0.1566768768440559,0.10013616938813924,0.09236562727099426,12
1989,1989-01-31,1989-12-31,0.2728525451723379,0.10375965492430791,0.09438720755973459,12
1990,1990-01-31,1990-12-31,-0.032442717575987004,0.10321685907793214,0.09415231483304787,12
1991,1991-01-31,1991-12-31,0.2675177683609459,0.09712731401737033,0.09497705860222787,12
1992,1992-01-31,1992-12-31,0.07437479913628339,0.08216163560956027,0.0956034590708716,12
1993,1993-01-31,1993-12-31,0.09432280748577297,0.07875330323108995,0.09581779522318642,12
1994,1994-01-31,1994-12-31,0.01351777970431502,0.08061620049155765,0.09515314716982515,12
1995,1995-01-31,1995-12-31,0.3198001160249583,0.09558166047662639,0.09625767222327747,12
1996,1996-01-31,1996-12-31,0.20878673432825626,0.08960335846320282,0.09839013066769156,12
1997,1997-01-31,1997-12-31,0.289741901882144,0.08552039927755938,0.10083466166318031,12
1998,1998-01-31,1998-12-31,0.25697289727916783,0.07689237005406742,0.10276241455580973,12
1999,1999-01-31,1999-12-31,0.19351545309128013,0.06725618869553429,0.10441231863161296,12
2000,2000-01-31,2000-12-31,-0.08893287494621802,0.0733308930162442,0.10444956728573229,12
2001,2001-01-31,2001-12-31,-0.126826541508185,0.058664133354905425,0.10087260614742366,12
2002,2002-01-31,2002-12-31,-0.24561477233957146,0.04737253165454655,0.09750540599592572,12
2003,2003-01-31,2003-12-31,0.25225292864144355,0.06619607976514814,0.09572537315058942,12
2004,2004-01-31,2004-12-31,0.10408103026447332,0.0784970555004462,0.09695878792875139,12
2005,2005-01-31,2005-12-31,0.05076404775051405,0.08639055286951966,0.09683065626430232,12
2006,2006-01-31,2006-12-31,0.14565889060050444,0.09937271160976226,0.09685083360665861,12
2007,2007-01-31,2007-12-31,0.05560937888547597,0.10116238040672923,0.09738870844992313,12
2008,2008-01-31,2008-12-31,-0.4534935287196406,0.06761255288536898,0.09452832965958304,12
2009,2009-01-31,2009-12-31,0.23491544068040965,-0.009032879079461723,0.09017612157814285,12
2010,2010-01-31,2010-12-31,0.14108447654562808,0.07418944047111684,0.0915853470764792,12
2011,2011-01-31,2011-12-31,0.018066634026707364,0.09180965819533587,0.09232156711114088,12
2012,2012-01-31,2012-12-31,0.1492482390142845,0.10236958284783958,0.09230540767157537,12
2013,2013-01-31,2013-12-31,0.2816109847036458,0.096474821078029,0.09336354173278782,12
2014,2014-01-31,2014-12-31,0.12686079092491226,0.09013295716440432,0.09453817371212216,12
2015,2015-01-31,2015-12-31,0.014824664347290236,0.07258923669131308,0.0944285106177463,12
2016,2016-01-31,2016-12-31,0.11152021617809794,0.06713273665101963,0.09381953557841244,12
2017,2017-01-31,2017-12-31,0.19873728717068773,0.0664336137631827,0.09465823048362085,12
2018,2018-01-31,2018-12-31,-0.04595929207829742,0.07532621332888131,0.09521076757061597,12
2019,2019-01-31,2019-12-31,0.27383204895138374,0.07873137541290541,0.09486573952199964,12
2020,2020-01-31,2020-12-31,0.17650407046360667,0.05626117693109322,0.09510915986184972,12
2021,2021-01-31,2021-12-31,0.25056649216910376,0.08199326426598025,0.0972512409534016,12
2022,2022-01-31,2022-12-31,-0.20075383232853578,0.11389281032497611,0.09629482767614106,12
2023,2023-01-31,2023-12-31,0.2361684350537652,0.09927744040545139,0.09571867824185748,12
2024,2024-01-31,2024-12-31,0.22808604100037902,0.0776670658930776,0.09728746888765255,12
